ID,DATE4,PROGRAM,TPE,DIRECT,INDIRECT,N,NUMBER,REF
SS-B TPE 1: Engaging,2016Q1,SS-BILINGUAL,TPE 1: Engaging and Supporting All Students,3.26,1.34,91,1,409
SS-B 1.1  Apply know,2016Q1,SS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,1.97,2.28,45,1.1,410
SS-B 1.2  Maintain o,2016Q1,SS-BILINGUAL,1.2  Maintain ongoing communication with students and families,1.82,1.59,40,1.2,411
SS-B 1.3  Connect su,2016Q1,SS-BILINGUAL,1.3  Connect subject matter to real-life contexts,1.86,1.29,13,1.3,412
SS-B 1.4  Use… appro,2016Q1,SS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,3.17,1.37,91,1.4,413
SS-B 1.5  Promote st,2016Q1,SS-BILINGUAL,1.5  Promote students' critical and creative thinking,1.37,1.48,81,1.5,414
SS-B 1.6  Provide a ,2016Q1,SS-BILINGUAL,1.6  Provide a supportive learning environment,2.39,2.06,86,1.6,415
SS-B 1.7  Provide st,2016Q1,SS-BILINGUAL,1.7  Provide students to access  visual and performing arts,3.75,2.01,52,1.7,416
SS-B 1.8  Monitor st,2016Q1,SS-BILINGUAL,1.8  Monitor student learning and adjust instruction,1.14,3.49,12,1.8,417
SS-B TPE 2: Creating,2016Q1,SS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,1.71,3.72,75,2,418
SS-B 2.1  Promote st,2016Q1,SS-BILINGUAL,2.1  Promote students' social-emotional growth,3.92,1.65,21,2.1,419
SS-B 2.2  Create lea,2016Q1,SS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,3.67,3.06,70,2.2,420
"SS-B 2.3  Establish,",2016Q1,SS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",2.75,3.85,47,2.3,421
SS-B 2.4  Know how t,2016Q1,SS-BILINGUAL,2.4  Know how to access resources to support students,3.67,2.33,62,2.4,422
SS-B 2.5  Maintain h,2016Q1,SS-BILINGUAL,2.5  Maintain high expectations for learning,1.76,1.24,34,2.5,423
SS-B 2.6  Establish ,2016Q1,SS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,1.96,2.02,37,2.6,424
SS-B TPE 3: Understa,2016Q1,SS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,3.97,2.41,33,3,425
SS-B 3.1  Demonstrat,2016Q1,SS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,3.1,3.32,80,3.1,426
SS-B 3.2  Use knowle,2016Q1,SS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,3.8,3.62,44,3.2,427
SS-B 3.3  Plan instr,2016Q1,SS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,3.29,1.82,88,3.3,428
SS-B 3.4  Individual,2016Q1,SS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,3.19,1.13,55,3.4,429
SS-B 3.5  Adapt and ,2016Q1,SS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,3.23,2.56,24,3.5,430
SS-B 3.6  Use a rang,2016Q1,SS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.05,2.84,19,3.6,431
SS-B 3.7  Model and ,2016Q1,SS-BILINGUAL,3.7  Model and develop digital literacy by using technology,2.69,1.85,29,3.7,432
SS-B 3.8  Demonstrat,2016Q1,SS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.23,2.96,33,3.8,433
SS-B TPE 4: Planning,2016Q1,SS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,2.83,2.14,22,4,434
SS-B 4.1  Locate and,2016Q1,SS-BILINGUAL,4.1  Locate and apply information about students' current academic status,3.9,3.37,94,4.1,435
SS-B 4.2  Understand,2016Q1,SS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.3,3.64,61,4.2,436
SS-B 4.3  Design ins,2016Q1,SS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,3.06,3.5,41,4.3,437
"SS-B 4.4  Plan, desi",2016Q1,SS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",2.64,3.35,50,4.4,438
SS-B 4.5  Promote st,2016Q1,SS-BILINGUAL,4.5  Promote student success,2.3,2.39,67,4.5,439
SS-B 4.6  Access res,2016Q1,SS-BILINGUAL,4.6  Access resources for planning and instruction,3.97,1.83,94,4.6,440
SS-B 4.7  Plan instr,2016Q1,SS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,3.66,2.18,70,4.7,441
SS-B 4.8  Use digita,2016Q1,SS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,2.66,2.49,74,4.8,442
SS-B TPE 5: Assessin,2016Q1,SS-BILINGUAL,TPE 5: Assessing Student Learning,2.66,3.24,70,5,443
SS-B 5.1  Apply know,2016Q1,SS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.09,2.15,32,5.1,444
SS-B 5.2  Collect an,2016Q1,SS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,2.57,1.98,21,5.2,445
SS-B 5.3  Involve al,2016Q1,SS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,3.45,3.83,53,5.3,446
SS-B 5.4  Use techno,2016Q1,SS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,2.67,2.98,35,5.4,447
SS-B 5.5  Use assess,2016Q1,SS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.02,3.29,49,5.5,448
SS-B 5.6  Work with ,2016Q1,SS-BILINGUAL,5.6  Work with specialists to interpret assessment results,3.83,2.63,78,5.6,449
SS-B 5.7  Interpret ,2016Q1,SS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.98,2.25,18,5.7,450
SS-B 5.8  Use assess,2016Q1,SS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.48,2.43,86,5.8,451
SS-B TPE 6: Developi,2016Q1,SS-BILINGUAL,TPE 6: Developing as a Professional Educator,1.27,2.46,51,6,452
SS-B 6.1  Reflect on,2016Q1,SS-BILINGUAL,6.1  Reflect on their own teaching practice,2.96,1.75,46,6.1,453
SS-B 6.2  Recognize ,2016Q1,SS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,3.37,3.96,63,6.2,454
SS-B 6.3  Establish ,2016Q1,SS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,2.36,2.13,17,6.3,455
SS-B 6.4  Demonstrat,2016Q1,SS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.91,3.77,69,6.4,456
SS-B 6.5  Demonstrat,2016Q1,SS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,3.48,2.6,23,6.5,457
SS-B 6.6  Understand,2016Q1,SS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,2.17,1.21,35,6.6,458
SS-B 6.7  Critically,2016Q1,SS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,2.45,2.43,85,6.7,459
SS-B TPE 1: Engaging,2016Q2,SS-BILINGUAL,TPE 1: Engaging and Supporting All Students,3.5,3.68,67,1,460
SS-B 1.1  Apply know,2016Q2,SS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,3.33,1.02,57,1.1,461
SS-B 1.2  Maintain o,2016Q2,SS-BILINGUAL,1.2  Maintain ongoing communication with students and families,1.96,2.24,58,1.2,462
SS-B 1.3  Connect su,2016Q2,SS-BILINGUAL,1.3  Connect subject matter to real-life contexts,3.85,1.99,92,1.3,463
SS-B 1.4  Use… appro,2016Q2,SS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,1.28,2.82,19,1.4,464
SS-B 1.5  Promote st,2016Q2,SS-BILINGUAL,1.5  Promote students' critical and creative thinking,1.75,1.16,94,1.5,465
SS-B 1.6  Provide a ,2016Q2,SS-BILINGUAL,1.6  Provide a supportive learning environment,3.12,2.84,66,1.6,466
SS-B 1.7  Provide st,2016Q2,SS-BILINGUAL,1.7  Provide students to access  visual and performing arts,1.31,2.11,78,1.7,467
SS-B 1.8  Monitor st,2016Q2,SS-BILINGUAL,1.8  Monitor student learning and adjust instruction,2.31,3.97,95,1.8,468
SS-B TPE 2: Creating,2016Q2,SS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,2.89,1.06,53,2,469
SS-B 2.1  Promote st,2016Q2,SS-BILINGUAL,2.1  Promote students' social-emotional growth,1.75,2.95,40,2.1,470
SS-B 2.2  Create lea,2016Q2,SS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,1.64,1.47,23,2.2,471
"SS-B 2.3  Establish,",2016Q2,SS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.3,1.48,52,2.3,472
SS-B 2.4  Know how t,2016Q2,SS-BILINGUAL,2.4  Know how to access resources to support students,3.22,1.88,72,2.4,473
SS-B 2.5  Maintain h,2016Q2,SS-BILINGUAL,2.5  Maintain high expectations for learning,3.49,1.32,86,2.5,474
SS-B 2.6  Establish ,2016Q2,SS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,3.15,2.3,100,2.6,475
SS-B TPE 3: Understa,2016Q2,SS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,3.97,3.62,45,3,476
SS-B 3.1  Demonstrat,2016Q2,SS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,2.87,1.38,24,3.1,477
SS-B 3.2  Use knowle,2016Q2,SS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,3.56,3.11,27,3.2,478
SS-B 3.3  Plan instr,2016Q2,SS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,3.82,2.79,10,3.3,479
SS-B 3.4  Individual,2016Q2,SS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,3.83,3.94,74,3.4,480
SS-B 3.5  Adapt and ,2016Q2,SS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,3.86,3.86,66,3.5,481
SS-B 3.6  Use a rang,2016Q2,SS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,3.21,3.34,81,3.6,482
SS-B 3.7  Model and ,2016Q2,SS-BILINGUAL,3.7  Model and develop digital literacy by using technology,2.58,1.22,90,3.7,483
SS-B 3.8  Demonstrat,2016Q2,SS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.07,1.69,90,3.8,484
SS-B TPE 4: Planning,2016Q2,SS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.15,3.02,80,4,485
SS-B 4.1  Locate and,2016Q2,SS-BILINGUAL,4.1  Locate and apply information about students' current academic status,1.13,1.07,42,4.1,486
SS-B 4.2  Understand,2016Q2,SS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.03,1.87,54,4.2,487
SS-B 4.3  Design ins,2016Q2,SS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.68,1.64,46,4.3,488
"SS-B 4.4  Plan, desi",2016Q2,SS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",1.92,1.05,26,4.4,489
SS-B 4.5  Promote st,2016Q2,SS-BILINGUAL,4.5  Promote student success,3.18,2.27,95,4.5,490
SS-B 4.6  Access res,2016Q2,SS-BILINGUAL,4.6  Access resources for planning and instruction,3.75,1.5,94,4.6,491
SS-B 4.7  Plan instr,2016Q2,SS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,2.28,2,39,4.7,492
SS-B 4.8  Use digita,2016Q2,SS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,1.48,3.58,41,4.8,493
SS-B TPE 5: Assessin,2016Q2,SS-BILINGUAL,TPE 5: Assessing Student Learning,3.13,3,41,5,494
SS-B 5.1  Apply know,2016Q2,SS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,1.45,3.85,69,5.1,495
SS-B 5.2  Collect an,2016Q2,SS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,2.39,2.81,98,5.2,496
SS-B 5.3  Involve al,2016Q2,SS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,1.3,2.81,56,5.3,497
SS-B 5.4  Use techno,2016Q2,SS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,2.44,1.75,76,5.4,498
SS-B 5.5  Use assess,2016Q2,SS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.02,3.24,33,5.5,499
SS-B 5.6  Work with ,2016Q2,SS-BILINGUAL,5.6  Work with specialists to interpret assessment results,3.44,3.71,31,5.6,500
SS-B 5.7  Interpret ,2016Q2,SS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.24,1.32,58,5.7,501
SS-B 5.8  Use assess,2016Q2,SS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.85,3.98,31,5.8,502
SS-B TPE 6: Developi,2016Q2,SS-BILINGUAL,TPE 6: Developing as a Professional Educator,1.7,2.84,49,6,503
SS-B 6.1  Reflect on,2016Q2,SS-BILINGUAL,6.1  Reflect on their own teaching practice,1.11,2.43,60,6.1,504
SS-B 6.2  Recognize ,2016Q2,SS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,2.65,3.09,53,6.2,505
SS-B 6.3  Establish ,2016Q2,SS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,1.16,1.32,60,6.3,506
SS-B 6.4  Demonstrat,2016Q2,SS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,1.1,1.64,39,6.4,507
SS-B 6.5  Demonstrat,2016Q2,SS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,3.39,3.11,78,6.5,508
SS-B 6.6  Understand,2016Q2,SS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,3.25,3.03,34,6.6,509
SS-B 6.7  Critically,2016Q2,SS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,1.42,2.94,42,6.7,510
SS-B TPE 1: Engaging,2016Q3,SS-BILINGUAL,TPE 1: Engaging and Supporting All Students,2.74,3.59,61,1,511
SS-B 1.1  Apply know,2016Q3,SS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,1.98,3.66,83,1.1,512
SS-B 1.2  Maintain o,2016Q3,SS-BILINGUAL,1.2  Maintain ongoing communication with students and families,1.4,3.03,19,1.2,513
SS-B 1.3  Connect su,2016Q3,SS-BILINGUAL,1.3  Connect subject matter to real-life contexts,1.1,2.32,59,1.3,514
SS-B 1.4  Use… appro,2016Q3,SS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,2.34,1.21,11,1.4,515
SS-B 1.5  Promote st,2016Q3,SS-BILINGUAL,1.5  Promote students' critical and creative thinking,1.41,3.35,76,1.5,516
SS-B 1.6  Provide a ,2016Q3,SS-BILINGUAL,1.6  Provide a supportive learning environment,1.59,3.47,39,1.6,517
SS-B 1.7  Provide st,2016Q3,SS-BILINGUAL,1.7  Provide students to access  visual and performing arts,2.47,2.41,68,1.7,518
SS-B 1.8  Monitor st,2016Q3,SS-BILINGUAL,1.8  Monitor student learning and adjust instruction,3.8,4,30,1.8,519
SS-B TPE 2: Creating,2016Q3,SS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.62,1.88,78,2,520
SS-B 2.1  Promote st,2016Q3,SS-BILINGUAL,2.1  Promote students' social-emotional growth,1.01,3.71,24,2.1,521
SS-B 2.2  Create lea,2016Q3,SS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,3.43,3.78,42,2.2,522
"SS-B 2.3  Establish,",2016Q3,SS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.73,3.02,82,2.3,523
SS-B 2.4  Know how t,2016Q3,SS-BILINGUAL,2.4  Know how to access resources to support students,3.27,2.78,49,2.4,524
SS-B 2.5  Maintain h,2016Q3,SS-BILINGUAL,2.5  Maintain high expectations for learning,2.25,1.35,97,2.5,525
SS-B 2.6  Establish ,2016Q3,SS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,1.78,2.78,11,2.6,526
SS-B TPE 3: Understa,2016Q3,SS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,2.53,1.42,34,3,527
SS-B 3.1  Demonstrat,2016Q3,SS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,2.24,2.69,54,3.1,528
SS-B 3.2  Use knowle,2016Q3,SS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,3.63,3.91,91,3.2,529
SS-B 3.3  Plan instr,2016Q3,SS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,1.47,2.41,97,3.3,530
SS-B 3.4  Individual,2016Q3,SS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,3.7,3.23,54,3.4,531
SS-B 3.5  Adapt and ,2016Q3,SS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,1.6,3.46,43,3.5,532
SS-B 3.6  Use a rang,2016Q3,SS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,1.06,1.99,71,3.6,533
SS-B 3.7  Model and ,2016Q3,SS-BILINGUAL,3.7  Model and develop digital literacy by using technology,1.43,1.02,92,3.7,534
SS-B 3.8  Demonstrat,2016Q3,SS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.24,1.35,78,3.8,535
SS-B TPE 4: Planning,2016Q3,SS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.38,3.79,99,4,536
SS-B 4.1  Locate and,2016Q3,SS-BILINGUAL,4.1  Locate and apply information about students' current academic status,2.3,1.56,43,4.1,537
SS-B 4.2  Understand,2016Q3,SS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,2.88,1.52,11,4.2,538
SS-B 4.3  Design ins,2016Q3,SS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,3.07,3.28,19,4.3,539
"SS-B 4.4  Plan, desi",2016Q3,SS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",3.64,1.38,40,4.4,540
SS-B 4.5  Promote st,2016Q3,SS-BILINGUAL,4.5  Promote student success,3.7,2.82,54,4.5,541
SS-B 4.6  Access res,2016Q3,SS-BILINGUAL,4.6  Access resources for planning and instruction,3.29,1.06,56,4.6,542
SS-B 4.7  Plan instr,2016Q3,SS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,2.43,1.42,36,4.7,543
SS-B 4.8  Use digita,2016Q3,SS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,3.79,2.74,14,4.8,544
SS-B TPE 5: Assessin,2016Q3,SS-BILINGUAL,TPE 5: Assessing Student Learning,3.86,3.75,89,5,545
SS-B 5.1  Apply know,2016Q3,SS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,2.39,2.41,83,5.1,546
SS-B 5.2  Collect an,2016Q3,SS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,1.25,1.05,38,5.2,547
SS-B 5.3  Involve al,2016Q3,SS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,1.9,2.31,88,5.3,548
SS-B 5.4  Use techno,2016Q3,SS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,2.3,2.03,92,5.4,549
SS-B 5.5  Use assess,2016Q3,SS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.19,2.8,41,5.5,550
SS-B 5.6  Work with ,2016Q3,SS-BILINGUAL,5.6  Work with specialists to interpret assessment results,1.87,2.21,68,5.6,551
SS-B 5.7  Interpret ,2016Q3,SS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,2.4,2.5,93,5.7,552
SS-B 5.8  Use assess,2016Q3,SS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",2.19,2.91,71,5.8,553
SS-B TPE 6: Developi,2016Q3,SS-BILINGUAL,TPE 6: Developing as a Professional Educator,1.81,1,62,6,554
SS-B 6.1  Reflect on,2016Q3,SS-BILINGUAL,6.1  Reflect on their own teaching practice,2.24,3.44,21,6.1,555
SS-B 6.2  Recognize ,2016Q3,SS-BILINGUAL,6.2  Recognize their own values and implicit and explicit biases,2.78,2.29,16,6.2,556
SS-B 6.3  Establish ,2016Q3,SS-BILINGUAL,6.3  Establish professional learning goals to improve their practice…,3.86,1.81,62,6.3,557
SS-B 6.4  Demonstrat,2016Q3,SS-BILINGUAL,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.59,2.64,91,6.4,558
SS-B 6.5  Demonstrat,2016Q3,SS-BILINGUAL,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,1.27,2.17,39,6.5,559
SS-B 6.6  Understand,2016Q3,SS-BILINGUAL,6.6  Understand roles and responsibilities as mandated reporters,1.9,2.57,10,6.6,560
SS-B 6.7  Critically,2016Q3,SS-BILINGUAL,6.7  Critically analyze history of public education in California affects… school governance,1.06,3.74,57,6.7,561
SS-B TPE 1: Engaging,2016Q4,SS-BILINGUAL,TPE 1: Engaging and Supporting All Students,1.03,2.32,89,1,562
SS-B 1.1  Apply know,2016Q4,SS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,2.92,3.65,71,1.1,563
SS-B 1.2  Maintain o,2016Q4,SS-BILINGUAL,1.2  Maintain ongoing communication with students and families,2.58,1.91,23,1.2,564
SS-B 1.3  Connect su,2016Q4,SS-BILINGUAL,1.3  Connect subject matter to real-life contexts,3.45,1.22,80,1.3,565
SS-B 1.4  Use… appro,2016Q4,SS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,1.07,2.82,79,1.4,566
SS-B 1.5  Promote st,2016Q4,SS-BILINGUAL,1.5  Promote students' critical and creative thinking,1.61,1.79,28,1.5,567
SS-B 1.6  Provide a ,2016Q4,SS-BILINGUAL,1.6  Provide a supportive learning environment,2.59,2.76,41,1.6,568
SS-B 1.7  Provide st,2016Q4,SS-BILINGUAL,1.7  Provide students to access  visual and performing arts,2.74,3.2,56,1.7,569
SS-B 1.8  Monitor st,2016Q4,SS-BILINGUAL,1.8  Monitor student learning and adjust instruction,2.86,2.78,11,1.8,570
SS-B TPE 2: Creating,2016Q4,SS-BILINGUAL,TPE 2: Creating and Maintaining Effective Environments for Student Learning,1.39,3.51,79,2,571
SS-B 2.1  Promote st,2016Q4,SS-BILINGUAL,2.1  Promote students' social-emotional growth,3.99,1.76,48,2.1,572
SS-B 2.2  Create lea,2016Q4,SS-BILINGUAL,2.2  Create learning environments… that promote productive student learning,2.44,1.92,52,2.2,573
"SS-B 2.3  Establish,",2016Q4,SS-BILINGUAL,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.56,3.09,85,2.3,574
SS-B 2.4  Know how t,2016Q4,SS-BILINGUAL,2.4  Know how to access resources to support students,1.32,1.36,94,2.4,575
SS-B 2.5  Maintain h,2016Q4,SS-BILINGUAL,2.5  Maintain high expectations for learning,1.81,1.87,99,2.5,576
SS-B 2.6  Establish ,2016Q4,SS-BILINGUAL,2.6  Establish and maintain clear expectations for positive classroom behavior,3.5,3.95,57,2.6,577
SS-B TPE 3: Understa,2016Q4,SS-BILINGUAL,TPE 3: Understanding and Organizing Subject Matter for Student Learning,3.61,3.72,23,3,578
SS-B 3.1  Demonstrat,2016Q4,SS-BILINGUAL,3.1  Demonstrate knowledge of subject matter,2.88,1.27,12,3.1,579
SS-B 3.2  Use knowle,2016Q4,SS-BILINGUAL,3.2  Use knowledge about students and learning goals to organize the curriculum,1.36,1.66,89,3.2,580
SS-B 3.3  Plan instr,2016Q4,SS-BILINGUAL,3.3  Plan instruction consistent with current subject-specific pedagogy,3.35,1.73,46,3.3,581
SS-B 3.4  Individual,2016Q4,SS-BILINGUAL,3.4  Individually plan for effective subject matter instruction…,3.16,3.01,82,3.4,582
SS-B 3.5  Adapt and ,2016Q4,SS-BILINGUAL,3.5  Adapt and support the acquisition of academic language,1.62,3.56,91,3.5,583
SS-B 3.6  Use a rang,2016Q4,SS-BILINGUAL,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.86,2.73,70,3.6,584
SS-B 3.7  Model and ,2016Q4,SS-BILINGUAL,3.7  Model and develop digital literacy by using technology,3.73,1.05,49,3.7,585
SS-B 3.8  Demonstrat,2016Q4,SS-BILINGUAL,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.16,1.5,47,3.8,586
SS-B TPE 4: Planning,2016Q4,SS-BILINGUAL,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.6,3.32,23,4,587
SS-B 4.1  Locate and,2016Q4,SS-BILINGUAL,4.1  Locate and apply information about students' current academic status,3.81,1.94,20,4.1,588
SS-B 4.2  Understand,2016Q4,SS-BILINGUAL,4.2  Understand the range and characteristics of typical and atypical child development,3.04,2.28,49,4.2,589
SS-B 4.3  Design ins,2016Q4,SS-BILINGUAL,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,1.5,1.07,42,4.3,590
"SS-B 4.4  Plan, desi",2016Q4,SS-BILINGUAL,"4.4  Plan, design, implement and monitor instruction",1.95,1.24,10,4.4,591
SS-B 4.5  Promote st,2016Q4,SS-BILINGUAL,4.5  Promote student success,3.05,3.21,64,4.5,592
SS-B 4.6  Access res,2016Q4,SS-BILINGUAL,4.6  Access resources for planning and instruction,3.97,1.28,81,4.6,593
SS-B 4.7  Plan instr,2016Q4,SS-BILINGUAL,4.7  Plan instruction that promotes a range of communication strategies,1.91,1.4,99,4.7,594
SS-B 4.8  Use digita,2016Q4,SS-BILINGUAL,4.8  Use digital tools and learning technologies across learning environments,3.89,3.26,79,4.8,595
SS-B TPE 5: Assessin,2016Q4,SS-BILINGUAL,TPE 5: Assessing Student Learning,2.06,1.47,81,5,596
SS-B 5.1  Apply know,2016Q4,SS-BILINGUAL,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.2,3.25,100,5.1,597
SS-B 5.2  Collect an,2016Q4,SS-BILINGUAL,5.2  Collect and analyze assessment data from multiple,2.06,1.85,12,5.2,598
SS-B 5.3  Involve al,2016Q4,SS-BILINGUAL,5.3  Involve all students in self-assessment and reflection on their learning goals,3.96,3.43,74,5.3,599
SS-B 5.4  Use techno,2016Q4,SS-BILINGUAL,5.4  Use technology as appropriate to support assessment administration,3.57,2.04,89,5.4,600
SS-B 5.5  Use assess,2016Q4,SS-BILINGUAL,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.02,3.42,28,5.5,601
SS-B 5.6  Work with ,2016Q4,SS-BILINGUAL,5.6  Work with specialists to interpret assessment results,3.14,3.67,40,5.6,602
SS-B 5.7  Interpret ,2016Q4,SS-BILINGUAL,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,1.93,1.96,69,5.7,603
SS-B 5.8  Use assess,2016Q4,SS-BILINGUAL,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",3.25,2.38,60,5.8,604
SS-B TPE 6: Developi,2016Q4,SS-BILINGUAL,TPE 6: Developing as a Professional Educator,3.23,1.88,30,6,605
SS-B 6.1  Reflect on,2016Q4,SS-BILINGUAL,6.1  Reflect on their own teaching practice,2.41,2.12,14,6.1,606
